,country,name,title,woman_title,Woman Candidate Master (WCM),Candidate Master (CM),Woman FIDE Master (WFM),FIDE Master (FM),Woman International Master (WIM),International Master (IM),Woman Grandmaster (WGM),Grandmaster (GM)
139,SRB,"Nikolic, Stanimir",GM,,,,,,,1967.0,,1978.0
140,ISL,"Olafsson, Fridrik",GM,,,,,,,1956.0,,1958.0
141,ARG,"Panno, Oscar",GM,,,,,,,1954.0,,1955.0
142,RUS,"Radevich, Boris",FM,,,,,,,,,
143,HUN,"Sapi, Laszlo",IM,,,,,,,1980.0,,
144,RUS,"Shestoperov, Aleksej",IM,,,,,,,,,
145,MDA,"Solonar, Ion",FM,,,,,,,,,
146,RUS,"Sorokin, Valentin",FM,,,,,,,,,
147,GER,"Thal, Olaf",FM,,,,,,,,,
148,RUS,"Vaganov, Mikhail K.",FM,,,,,,,,,
149,TKM,"Valiyev, Nerik",FM,,,,,,,,,
150,ROU,"Vasile, Constantin",FM,,,,,,,,,
151,CAN,"Vujosevic, Smilja",WIM,WIM,,,,,1978.0,,,
152,UKR,"Zheliandinov, Viktor",IM,,,,,,,1999.0,,
153,RUS,"Zhulanov, Viktor",FM,,,,,,,,,
154,FRA,"Bogdanov, Emil",FM,,,,,,,,,
155,SLO,"Crepinsek, Ljubomir",FM,,,,,1985.0,,,,
156,ARG,"Garcia, Raimundo",IM,,,,,,,,,
157,RUS,"Gazizov, Ravil",FM,,,,,,,,,
158,SUI,"Keller, Dieter",IM,,,,,,,1961.0,,
159,POL,"Kornasiewicz, Stanislaw",FM,,,,,,,,,
160,NOR,"Kristiansen, Erling",FM,,,,,1985.0,,,,
161,GER,"Liebert, Heinz",IM,,,,,,,1966.0,,
162,GER,"Malich, Burkhard, Dr.",GM,,,,,,,1962.0,,1975.0
163,RUS,"Medianikova, Nina",WIM,WIM,,,,,1970.0,,,
164,RUS,"Meshalkin, Yury P.",FM,,,,,,,,,
165,GER,"Moehring, Guenther",IM,,,,,,,,,
166,GER,"Nautsch, Werner",FM,,,,,,,,,
