,country,name,title,woman_title,Woman Candidate Master (WCM),Candidate Master (CM),Woman FIDE Master (WFM),FIDE Master (FM),Woman International Master (WIM),International Master (IM),Woman Grandmaster (WGM),Grandmaster (GM)
6040,IND,"Mishra, Neeraj-Kumar",IM,,,,,,,1991.0,,
6041,IRQ,"Mohammed Qanee, Arpak Worya",CM,,,2010.0,,,,,,
6042,MAS,"Mok, Tze-Meng",IM,,,,,2004.0,,2009.0,,
6043,RUS,"Mokhna, Natalia",WFM,WFM,,,2004.0,,,,,
6044,BAH,"Moncur, Cecil",FM,,,2014.0,,2016.0,,,,
6045,PUR,"Montalvo Rosario, Alejandro",IM,,,,,,,,,
6046,JCI,"Mooney, Graham",CM,,,2018.0,,,,,,
6047,GER,"Mooser, Stefan",FM,,,,,2017.0,,,,
6048,ECU,"Moran Nuque, Augusto",IM,,,,,,,1993.0,,
6049,PLE,"Moussa, Alaa-Eddine",CM,,,2006.0,,,,,,
6050,MYA,Myo Thant Khaing,FM,,,,,,,,,
6051,RUS,"Nedelko, Alexandr",FM,,,,,2003.0,,,,
6052,USA,"Neely, Elizabeth",WIM,WIM,,,,,1986.0,,,
6053,MKD,"Nicevski, Dejan",FM,,,,,,,,,
6054,MNE,"Nikac, Predrag",IM,,,,,,,2011.0,,
6055,GER,"Niklasch, Oliver",IM,,,,,2001.0,,2005.0,,
6056,SRB,"Nikolic, Dragovan",FM,,,,,,,,,
6057,BIH,"Nikolic, Nebojsa",IM,,,,,,,1991.0,,
6058,CHN,"Ning, Chunhong",WGM,WGM,,,,,1997.0,,2001.0,
6059,BUL,"Ninov, Kiril",IM,,,,,,,1987.0,,
6060,AND,"Norwood, David R",GM,,,,,,,1985.0,,
6061,GER,"Oberst, Thomas",FM,,,,,2016.0,,,,
6062,CZE,"Obsivac, Josef",FM,,,,,,,,,
6063,ISL,"Olafsson, David",FM,,,,,2005.0,,,,
6064,DEN,"Ostergaard, Jens",FM,,,,,2012.0,,,,
6065,ARG,"Pacheco, Daniel",FM,,,,,2004.0,,,,
6066,PAN,"Padilla, Alvaro",CM,,,2017.0,,,,,,
6067,MEX,"Palacios Llera, Francisco",FM,,,,,,,,,
6068,CUB,"Paneque Martin, Pedro",IM,,,,,,,,,
6069,ESP,"Pariente Lopez, Francisco",FM,,,,,,,,,
6070,HUN,"Parkanyi, Attila",IM,,,,,,,2001.0,,
6071,FIN,"Parkkinen, Jyrki",CM,,,2020.0,,,,,,
6072,PLW,"Parrado, Angelica",WFM,WFM,,,2018.0,,,,,
6073,COL,"Pena Riasco, Alexander",FM,,,,,2008.0,,,,
6074,NED,"Peng, Zhaoqin",GM,WGM,,,,,1989.0,1995.0,1992.0,2004.0
6075,GER,"Peters, Andreas",FM,,,,,,,,,
6076,FRA,"Petrosyan, Armen",FM,,,,,2007.0,,,,
6077,POL,"Pieniazek, Artur",IM,,,,,,,1992.0,,
6078,UKR,"Pipa, Alexander",IM,,,,,,,,,
6079,POL,"Pisulinski, Jan",IM,,,,,,,,,
6080,POL,"Piwowarczyk, Piotr",FM,,,,,2014.0,,,,
6081,AUS,"Plew, Jeffrey",CM,,,2013.0,,,,,,
6082,CAN,"Plotkin, Victor",FM,,,,,2011.0,,,,
6083,CUB,"Portales Borrero, Roman",FM,,,,,2009.0,,,,
6084,AUT,"Postl, Anton",FM,,,,,,,,,
6085,INA,"Prayitno, Sugeng",FM,,,,,2011.0,,,,
6086,BIH,"Puric, Nenad",FM,,,,,,,,,
6087,POL,"Pyda, Zbigniew",FM,,,,,,,,,
6088,RUS,"Rabin, V.",IM,,,,,,,2000.0,,
6089,SRB,"Rajevic, Gavrilo",FM,,,,,2007.0,,,,
6090,ARM,"Ramazian, Arshak",FM,,,2010.0,,2010.0,,,,
6091,ESP,"Reales Murto, Manuel Jose",FM,,,,,2009.0,,,,
6092,ARG,"Reides, Marcelo",FM,,,,,,,,,
6093,GER,"Remling, Christian",FM,,,,,,,,,
6094,ENG,"Rich, Mark C",CM,,,,,,,,,
6095,GER,"Richter, Wolfgang",IM,,,,,,,1996.0,,
6096,AUT,"Riemelmoser, Franz",FM,,,,,,,,,
6097,CAN,"Ristovic, Nenad",FM,,,,,,,,,
6098,ESP,"Rivero Ojeda, Carmelo",FM,,,,,2007.0,,,,
6099,URU,"Rodi, Luis Ernesto",IM,,,,,2007.0,,2011.0,,
6100,RUS,"Romanov, Pavel",FM,,,,,,,,,
6101,NED,"Rubingh, Otto",FM,,,,,,,,,
6102,GER,"Ruf, Matthias",IM,,,,,,,1990.0,,
6103,LTU,"Ruzele, Darius",GM,,,,,,,1993.0,,1996.0
6104,IRL,"Ryan, Joseph",FM,,,,,,,,,
6105,FRA,"Salaun, Yann",IM,,,,,,,2001.0,,
6106,ESP,"Salgado Allaria, Carlos",FM,,,,,,,,,
6107,RUS,"Sanarov, Oleg",FM,,,,,,,,,
6108,ARG,"Sanchez Almeyra, Jorge",IM,,,,,,,1990.0,,
6109,ESP,"Sanchez Criado, Lluis",CM,,,2013.0,,,,,,
6110,PUR,"Santa Torres, Luis A.",CM,,,2021.0,,,,,,
6111,ESP,"Santana Martin, Juan",CM,,,2013.0,,,,,,
6112,RUS,"Saveliev, Alexandr",FM,,,,,2008.0,,,,
6113,GER,"Schian, Thomas",FM,,,,,,,,,
6114,AUT,"Schlosser, Michael",IM,,,,,,,1988.0,,
6115,GER,"Schlosser, Philipp",GM,,,,,,,1989.0,,1992.0
6116,AUT,"Schneider-Zinner, Harald",IM,,,,,,,2009.0,,
6117,GER,"Schulte, Oliver",FM,,,,,,,,,
6118,GER,"Schunk, Thomas",FM,,,,,,,,,
6119,NED,"Schuurman, Petra",FM,,,,,,,,,
6120,ITA,"Sciortino, Massimo",FM,,,,,2005.0,,,,
6121,FRA,"Sebban, Jean-Paul",CM,,,2017.0,,,,,,
6122,ITA,"Sedina, Elena",IM,WGM,,,,,1990.0,1999.0,1996.0,
6123,GER,"Seger, Ruediger",IM,,,,,,,2002.0,,
6124,RUS,"Semenova, Inna",WFM,WFM,,,2005.0,,,,,
6125,RUS,"Semenova, Irina",WGM,WGM,,,,,1997.0,,2008.0,
6126,ARG,"Servat, Roberto",IM,,,,,,,1991.0,,
6127,USA,"Sevillano, Enrico",GM,,,,,,,,,2012.0
6128,ISR,"Shachar, Yoram",FM,,,,,,,,,
6129,SCO,"Shaw, John",GM,,,,,1994.0,,1999.0,,2006.0
6130,RUS,"Shchukin, Dmitry",IM,,,,,,,2003.0,,
6131,IND,Shetty Rahul,IM,,,,,,,1996.0,,
6132,RUS,"Shteinikov, Sergey",FM,,,,,,,,,
6133,RUS,"Shurygin, Sergey",IM,,,,,,,1998.0,,
6134,USA,"Shutzman, Joseph",FM,,,,,2008.0,,,,
6135,RUS,"Shuvatkin, Vladimir N",FM,,,,,,,,,
6136,RUS,"Shvedov, Sergey",FM,,,,,,,,,
6137,SRB,"Simonovic, Aleksandar",IM,,,,,,,1999.0,,
6138,RUS,"Sizintseva, Elena",WFM,WFM,,,,,,,,
6139,GER,"Skogvall, Martina",WFM,WFM,,,2008.0,,,,,
6140,ISR,"Smirin, Ilia",GM,,,,,,,1989.0,,1990.0
6141,WLS,"Smith, Lynda",WCM,WCM,2012.0,,,,,,,
6142,NED,"Sokolov, Ivan",GM,,,,,1985.0,,1986.0,,1987.0
6143,TUR,"Solakoglu, Ozgur",FM,,,,,2005.0,,,,
6144,MDA,"Solcanean, Serghei",IM,,,,,,,,,
6145,RUS,"Sosulin, Eduard",FM,,,,,,,,,
6146,GER,"Spiel, Marianne",WFM,WFM,,,,,,,,
6147,AUT,"Stanec, Nikolaus",GM,,,,,,,1993.0,,2003.0
6148,CZE,"Stratil, Ladislav",IM,,,,,,,1987.0,,
6149,FRA,"Stroe, Madalina",WIM,WIM,,,,,,,,
6150,SRB,"Subasic, Dragan",IM,,,,,,,2008.0,,
6151,BOL,"Sustach, Marcos",FM,,,,,2004.0,,,,
6152,NED,"Tabak, Stefan",FM,,,,,2016.0,,,,
6153,GEO,"Tabatadze, Tamaz",IM,,,,,,,1993.0,,
6154,JPN,"Tanaka, Haruko",WCM,WCM,2009.0,,,,,,,
6155,RUS,"Tarasov, Igor",FM,,,,,2005.0,,,,
6156,RUS,"Tcherbakov, Sergei",FM,,,,,,,,,
6157,GER,"Teske, Henrik",GM,,,,,,,1988.0,,1996.0
6158,GER,"Thinius, Marco",IM,,,,,,,2004.0,,
6159,ROU,"Toma Andreica, Alin",FM,,,,,2006.0,,,,
6160,NED,"Tondivar, Babak",FM,,,,,,,,,
6161,BRA,"Toth, Christian Endre",IM,,,,,,,1993.0,,
6162,ESP,"Trujillo Alvarado, Ivan",FM,,,,,2010.0,,,,
6163,USA,"Tsodikov, Rostislav",IM,,,,,,,2006.0,,
6164,SRB,"Turudic, Nenad",CM,,,2007.0,,,,,,
6165,FIN,"Tyni, Jukka-Pekka",FM,,,,,,,,,
6166,ARG,"Uboldi, Alejandro",FM,,,,,2004.0,,,,
6167,POL,"Urban, Klaudiusz",IM,,,,,,,1991.0,,
6168,CZE,"Vacek, Martin",FM,,,,,2004.0,,,,
6169,IRI,"Vahidi, Mohammad",FM,,,,,2006.0,,,,
6170,COL,"Valderrama Espinosa, Gilberto",FM,,,,,2007.0,,,,
6171,NED,"Van der Werf, Mark",IM,,,,,,,1993.0,,
6172,NED,"Van Laatum, Gozewijn",FM,,,,,,,,,
6173,CHI,"Vargas Maliqueo, Ivan Patricio",FM,,,,,2012.0,,,,
6174,ESP,"Vega Holm, Fernando",IM,,,,,,,1997.0,,
6175,GER,"Verfuerth, Thomas",CM,,,2015.0,,,,,,
6176,GER,"Voropaev, Gleb",FM,,,,,,,,,
6177,GER,"Wahls, Matthias",GM,,,,,,,1988.0,,1989.0
6178,IRL,"Wall, Gavin",IM,,,,,,,2003.0,,
6179,CHN,"Wang, Zili",GM,,,,,,,1989.0,,1995.0
6180,ENG,"Ward, Chris G",GM,,,,,,,1990.0,,1996.0
6181,ENG,"Way, Julian M",FM,,,,,2010.0,,,,
6182,GER,"Weber, Ulrich",FM,,,,,2007.0,,,,
6183,GER,"Werner, Marc",FM,,,,,,,,,
6184,LUX,"Wians, Camille",FM,,,,,,,,,
6185,POL,"Wieczorek, Zbigniew",FM,,,,,2014.0,,,,
6186,SWE,"Winsnes, Rikard",IM,,,,,,,1990.0,,
6187,POL,"Wlodarczyk, Robert",FM,,,,,,,,,
6188,USA,"Wolff, Patrick",GM,,,,,,,1986.0,,1990.0
6189,SGP,"Wong, Foong Yin",FM,,,,,,,,,
6190,INA,"Yasin, Muhammad",FM,,,,,2015.0,,,,
6191,SGP,"Yip, Fong Ling",WFM,WFM,,,2012.0,,,,,
6192,RUS,"Zaitsev, Vadim",IM,,,,,,,,,
6193,RUS,"Zakhartsov, Viacheslav V.",GM,,,,,,,1995.0,,2007.0
6194,ROU,"Zamfirescu, Bogdan-Ionut",FM,,,,,,,,,
6195,GER,"Zierke, Oliver",FM,,,,,,,,,
6196,MDV,"Abdul Rahman, Ali",CM,,,2013.0,,,,,,
6197,BRN,"Al Afoo, Shaker",FM,,,,,2006.0,,,,
6198,RUS,"Alavkin, Arseny",GM,,,,,,,1999.0,,2010.0
6199,MEX,"Aldama Degurnay, Dionisio",IM,,,,,,,1993.0,,
6200,MNE,"Aleksic, Nenad C",FM,,,,,,,,,
6201,RUS,"Allakhverdian, Tigran",FM,,,,,,,,,
6202,KUW,"Alothman, Abdul Wahab",FM,,,2014.0,,2018.0,,,,
6203,SYR,"Alzaim, Talal",IM,,,,,,,2019.0,,
6204,IND,"Anand, Viswanathan",GM,,,,,,,1985.0,,1988.0
6205,DEN,"Andersen, Daniel",FM,,,,,2011.0,,,,
6206,ARG,"Anino, Sergio",CM,,,2017.0,,,,,,
6207,HUN,"Anka, Emil",GM,,,,,,,1990.0,,2001.0
6208,GER,"Apel, Stefan",FM,,,,,,,,,
6209,BRA,"Araujo, Adalberto Marcos",FM,,,,,2004.0,,,,
6210,SRB,"Asik, Josip",FM,,,,,,,,,
6211,ENG,"Atkins, Rita",WIM,WIM,,,,,,,,
6212,ROU,"Badea, Bela",GM,,,,,,,,,1999.0
6213,RUS,"Bagdasarov, Vitalij A.",FM,,,,,2006.0,,,,
6214,RUS,"Barskij, Vladimir",IM,,,,,,,1996.0,,
6215,UKR,"Bashilin, Roman",FM,,,,,2008.0,,,,
6216,HAI,"Bazil, Joslin",FM,,,,,2021.0,,,,
6217,GER,"Becker, Marc",FM,,,,,,,,,
6218,POL,"Bednarek, Sylwester",FM,,,,,2012.0,,,,
6219,USA,"Belakovskaia, Anjelina",WGM,WGM,,,,,1990.0,,1993.0,
6220,ITA,"Bellini, Fabio",IM,,,,,,,1999.0,,
6221,NED,"Benschop, Anne Marie",WIM,WIM,,,,,1990.0,,,
6222,GER,"Berg, Michael",FM,,,,,,,,,
6223,ISL,"Bergsson, Snorri",FM,,,,,,,,,
6224,RUS,"Bezgodov, Alexei",GM,,,,,,,,,1999.0
6225,ESP,"Biedma Martin, Enrique",FM,,,,,2012.0,,,,
6226,ISL,"Bjornsson, Tomas",FM,,,,,,,,,
6227,NOR,"Blauhut, Holger",CM,,,2019.0,,,,,,
6228,RUS,"Bloshchinsky, Andrei",IM,,,,,,,,,
6229,VEN,"Boada Gomez, Wiston Esmir",IM,,,,,,,2009.0,,
6230,SRB,"Bodiroga, Predrag",IM,,,,,,,2000.0,,
6231,RUS,"Bogachkov, Igor",FM,,,,,,,,,
6232,BIH,"Bogut, Zeljko",IM,,,,,,,2007.0,,
6233,ARG,"Boissonet, Carlos P.",IM,,,,,,,1985.0,,
6234,GER,"Bornemann, Wolfram, Dr.",FM,,,,,,,,,
6235,GER,"Borulya, Ekaterina Uriivna",WGM,WGM,,,,,,,1994.0,
6236,NED,"Bosman, Michiel",IM,,,,,,,2018.0,,
6237,IRL,"Brady, Stephen",FM,,,,,,,,,
6238,BRA,"Braga Neto, Antenor de Carvalho",CM,,,2014.0,,,,,,
6239,GER,"Bredl, Harald",FM,,,,,2007.0,,,,
6240,NED,"Brenninkmeijer, Joris",IM,,,,,,,1989.0,,
6241,SLO,"Brinovec, Dusan",CM,,,2019.0,,,,,,
6242,UKR,"Brodsky, Michail",GM,,,,,,,1993.0,,1994.0
6243,FRA,"Bruneau, Laurent",FM,,,,,,,,,
6244,KOS,"Budima, Armend",CM,,,2020.0,,,,,,
6245,BIH,"Budimir, Boris",FM,,,,,,,,,
6246,AHO,"Capella, Rurik",FM,,,,,2020.0,,,,
6247,CHI,"Capo Iturrieta, Jose Miguel",FM,,,,,,,,,
6248,RUS,"Cherniaev, Alexander",GM,,,,,,,1993.0,,2004.0
6249,BEL,"Chuchelov, Vladimir",GM,,,,,,,1991.0,,1995.0
6250,GEO,"Churghulia, Gizo",FM,,,,,,,,,
6251,SWE,"Cicak, Slavko",GM,,,,,,,1997.0,,
6252,ARG,"Corsi Ferrari, Nestor",FM,,,,,2007.0,,,,
6253,FRA,"Damien, Nicolas",CM,,,2016.0,,,,,,
6254,KAZ,"Daminov, Oleg",FM,,,,,,,,,
6255,ENG,"Dargan, Paul A G",CM,,,2012.0,,,,,,
6256,GER,"Darnstaedt, Frank",FM,,,,,,,,,
6257,GER,"de Francesco, Klaus",FM,,,,,2008.0,,,,
6258,NED,"De Haan, Eric",FM,,,,,2006.0,,,,
6259,NED,"De Vries, Sylvia",WIM,WIM,,,,,,,,
6260,RUS,"Demina, Julia",WGM,WGM,,,,,1988.0,,1991.0,
6261,GER,"Dergatschova, Anna",WIM,WIM,,,,,1998.0,,,
6262,GER,"Dermann, Guido",FM,,,,,,,,,
6263,GER,"Dietz, Holger, Dr.",FM,,,,,,,,,
6264,MKD,"Dinev, Dejan",FM,,,,,,,,,
6265,RUS,"Dolgov, Andrey",FM,,,,,2011.0,,,,
6266,CHI,"Dominguez Placencia, Hernan",FM,,,,,2006.0,,,,
6267,RUS,"Draganov, Ruslan",FM,,,,,,,,,
6268,RUS,"Dreev, Aleksey",GM,,,,,,,1988.0,,1989.0
6269,AUS,"Duxbury, Craig",CM,,,2016.0,,,,,,
6270,HUN,"Eberth, Zoltan Bela",CM,,,2021.0,,,,,,
6271,USA,"Edelman, Daniel",IM,,,,,,,1993.0,,
6272,GER,"Effert, Kai",FM,,,,,,,,,
6273,ITA,"Esposito, Luca",FM,,,,,2013.0,,,,
6274,FRA,"Etchegaray, Patrice",IM,,,,,,,1993.0,,
6275,AUT,"Fahrner, Kurt",FM,,,,,,,,,
6276,CRO,"Fajdetic, Hrvoje",CM,,,2019.0,,,,,,
6277,SRB,"Farkas, Tibor",IM,,,,,,,1997.0,,
6278,KOS,"Fejzullahu, Afrim",FM,,,,,,,,,
6279,USA,"Finegold, Benjamin",GM,,,,,,,1990.0,,2009.0
6280,ARG,"Fiorito, Fabian",IM,,,,,,,1990.0,,
6281,CUB,"Flor Trejo, Remigio F.",FM,,,,,2005.0,,,,
6282,HUN,"Fogarasi, Tibor",GM,,,,,,,1990.0,,2003.0
6283,RUS,"Fomichenko, Eduard",IM,,,,,,,1999.0,,
6284,BRA,"Fontes, Carlos Henrique Batista",FM,,,,,2008.0,,,,
6285,BRA,"Fortaleza, Silvio Jose",CM,,,2010.0,,,,,,
6286,AUT,"Freitag, Manfred",IM,,,,,,,1998.0,,
6287,SWE,"Furhoff, Johan",IM,,,,,,,2008.0,,
6288,SLO,"Furlan, Miha",FM,,,,,,,,,
6289,GER,"Gabriel, Robert",FM,,,,,,,,,
6290,ESP,"Gallego Jimenez, Victoriano",IM,,,,,,,1996.0,,
6291,UKR,"Ganin, Maksim",IM,,,,,,,2004.0,,
6292,RUS,"Garagulya, Konstantin",CM,,,2021.0,,,,,,
6293,MEX,"Garcia Correa, Jose Ricardo",FM,,,,,,,,,
6294,KEN,"Gateri, Martin",FM,,,,,2007.0,,,,
6295,HUN,"Gelle, Istvan",FM,,,,,2013.0,,,,
6296,SUI,"Georges, Sacha",FM,,,,,,,,,
6297,GER,"Giemsa, Stephan",FM,,,,,1995.0,,,,
6298,PAK,"Gillani, Tunveer M.D.",FM,,,,,2021.0,,,,
6299,GRE,"Gogolis, Alexandros",FM,,,,,2007.0,,,,
6300,IND,"Gokhale, Anupama",WIM,WIM,,,,,,,,
6301,AUS,"Goldenberg, Igor",IM,,,,,,,2009.0,,
6302,RUS,"Golubev, Sergej",FM,,,,,2016.0,,,,
6303,PHI,"Gonzales, Jayson",GM,,,,,,,,,2008.0
6304,RUS,"Gorbushin, Anatoly",FM,,,,,,,,,
6305,GER,"Grabert, Ralf",FM,,,,,,,,,
6306,GER,"Grabow, Gilbert",FM,,,,,2007.0,,,,
6307,ISL,"Gretarsson, Andri A",FM,,,,,,,,,
6308,RUS,"Grigoryan, Artur",FM,,,,,2006.0,,,,
6309,CZE,"Hajek, Michal",FM,,,,,,,,,
6310,KOS,"Hamiti, Gani",FM,,,,,2016.0,,,,
6311,GER,"Heedt, Thorsten, Dr.",CM,,,2006.0,,,,,,
6312,AUT,"Heimberger, Reinhard",FM,,,,,,,,,
6313,SUI,"Heinatz, Gundula",WIM,WIM,,,,,,,,
6314,SWE,"Hellers, Ferdinand",GM,,,,,,,,,1985.0
6315,GER,"Hennig, Dirk, Dr.",IM,,,,,,,1996.0,,
6316,GER,"Hoepfl, Thomas, Dr.",FM,,,,,2004.0,,,,
6317,GER,"Hoerstmann, Martin",FM,,,,,,,,,
6318,ITA,"Hugony, Fabrizio",FM,,,,,2009.0,,,,
6319,DEN,"Hutters, Tomas",IM,,,,,,,1990.0,,
6320,AZE,"Ismailova, Lala",WIM,WIM,,,,,,,,
6321,UKR,"Ivanchuk, Vasyl",GM,,,,,,,1987.0,,1988.0
6322,RUS,"Ivanov, Alexey",IM,,,,,,,,,
6323,RUS,"Ivanov, Mikhail M",GM,,,,,,,,,1993.0
6324,RUS,"Ivanov, Timur",IM,,,,,,,1993.0,,
6325,RUS,"Ivanov, Victor L",IM,,,,,,,1993.0,,
6326,HUN,"Jakus, Katalin",WFM,WFM,,,,,,,,
6327,GER,"Joachim, Sven",IM,,,,,,,2009.0,,
6328,HUN,"Jonas, Peter",FM,,,,,,,,,
6329,ESP,"Juan Roldan, Jose Luis",FM,,,,,2006.0,,,,
6330,GER,"Juergens, Vera",WGM,WGM,,,,,,,1993.0,
6331,RUS,"Kanter, Eduard",IM,,,,,,,2010.0,,
6332,GER,"Karabalis, Harilos",FM,,,,,2013.0,,,,
6333,SRB,"Karanovic, Radoslav",FM,,,,,2003.0,,,,
6334,ARM,"Karatorossian, David",IM,,,,,,,,,
6335,BLR,"Kasparova, Tatiana",WIM,WIM,,,,,2007.0,,,
6336,RUS,"Kholopov, Alexander A.",FM,,,,,,,,,
6337,GER,"Klingelhoefer, Stefan, Dr.",FM,,,,,,,,,
6338,UKR,"Klyuner, Vyacheslav",IM,,,,,,,2011.0,,
6339,UKR,"Kobylianskyi, Ihor",FM,,,,,2008.0,,,,
6340,HUN,"Kocsis, Gyorgy",FM,,,,,2012.0,,,,
6341,NED,"Konings, Frans",FM,,,,,2016.0,,,,
6342,MNE,"Kontic, Djordjije",IM,,,,,,,1991.0,,
6343,ESP,"Korneev, Oleg",GM,,,,,,,1991.0,,1995.0
6344,INA,"Kosasih, Cecep",FM,,,,,2005.0,,,,
6345,MKD,"Koskoska, Gabriela",WIM,WIM,,,,,1997.0,,,
6346,UZB,"Krjuchkova, Elena",WGM,WGM,,,,,,,2004.0,
6347,PAR,"Kropff, Ricardo",IM,,,,,,,2009.0,,
6348,POL,"Kujawski, Adam",FM,,,,,2019.0,,,,
6349,NCA,"Lacayo, Rene",FM,,,,,,,,,
6350,EST,"Laesson, Tuulikki",WIM,WIM,,,,,1993.0,,,
6351,BLR,"Lagvilava, Genrieta",WGM,WGM,,,,,1995.0,,2000.0,
6352,GER,"Lang, Marc",FM,,,,,2005.0,,,,
6353,CZE,"Langner, Ladislav",IM,,,,,,,2002.0,,
6354,SRB,"Lazarevic, Slobodan",FM,,,,,,,,,
6355,CRO,"Leakovic, Ivica",CM,,,2017.0,,,,,,
6356,HAI,"Lebrun, Piersont",CM,,,2010.0,,,,,,
6357,ENG,"Ledger, Andrew J",IM,,,,,,,1994.0,,
6358,MNE,"Lekic, Dusan",IM,,,,,,,2001.0,,
6359,UKR,"Lempert, Igor",IM,,,,,,,1991.0,,
6360,VEN,"Leyva Proenza, Richard",IM,,,,,,,2001.0,,
6361,GER,"Liedtke, Matthias",FM,,,,,,,,,
6362,GER,"Lingnau, Carsten",IM,,,,,,,1993.0,,
6363,GER,"Loeffler, Markus",IM,,,,,,,1999.0,,
6364,ARG,"Loiterstein, Mariano",FM,,,,,2009.0,,,,
6365,ITA,"Lucaroni, Massimiliano",FM,,,,,2003.0,,,,
6366,GER,"Luft, Andreas",FM,,,,,1995.0,,,,
6367,RUS,"Lunev, Andrey",GM,,,,,,,2000.0,,2001.0
6368,GER,"Luther, Thomas",GM,,,,,,,,,1994.0
6369,HUN,"Madl, Ildiko",IM,WGM,,,,,1984.0,1992.0,1986.0,
6370,UKR,"Maksimenko, Andrei",GM,,,,,,,1991.0,,1995.0
6371,GEO,"Managadze, Nikoloz",IM,,,,,,,1999.0,,
6372,GER,"Manakov, Marina",WIM,WIM,,,,,1995.0,,,
6373,ITA,"Manca, Federico",IM,,,,,,,1990.0,,
6374,ISR,"Manor, Ilan",GM,,,,,,,,,1996.0
6375,MNC,"Marciano, David",GM,,,,,,,1991.0,,1998.0
6376,MEX,"Martha Palafox, Jaime Lionel",FM,,,,,2000.0,,,,
6377,NZL,"Martin, Benjamin",IM,,,,,,,1996.0,,
6378,RUS,"Matveeva, Svetlana",IM,WGM,,,,,1985.0,2005.0,1989.0,
6379,FRA,"Mensch, Etienne",IM,,,,,,,2004.0,,
6380,CZE,"Michalek, Jan",IM,,,,,,,2001.0,,
6381,MNE,"Mihajlovic, Veselin",FM,,,,,,,,,
6382,CAN,"Milat, Marcel",FM,,,,,,,,,
6383,MKD,"Mitkov, Marjan",IM,,,,,,,2001.0,,
6384,SWE,"Moberg, Karl Johan",IM,,,,,,,1995.0,,
6385,GER,"Mueller, Oliver",IM,,,,,2007.0,,2018.0,,
6386,GER,"Mueller, Ralf",FM,,,,,,,,,
6387,RUS,"Mukhametov, Eldar",IM,,,,,,,1993.0,,
6388,RUS,"Nadjezhdin, Dmitry",IM,,,,,,,2008.0,,
6389,FRA,"Naudier, Serge",FM,,,,,2006.0,,,,
6390,ROU,"Nevednichy, Vladislav",GM,,,,,,,1992.0,,1993.0
6391,FRA,"Nicoara, Malina",WIM,WIM,,,,,1997.0,,,
6392,BUL,"Ninov, Nikolai",GM,,,,,,,1990.0,,2012.0
6393,POR,"Nogueira, Nelson",IM,,,,,,,,,
6394,GER,"Nothnagel, Holger",FM,,,,,,,,,
6395,KAZ,"Novoshitskiy, Yevgeniy",FM,,,,,,,,,
6396,BIH,"Obad, Andrija",FM,,,,,2019.0,,,,
6397,RUS,"Obukhov, Alexander",GM,,,,,,,1993.0,,2005.0
6398,NGR,"Odeh, Kenneth",FM,,,,,2016.0,,,,
6399,FIN,"Paakkonen, Timo",FM,,,,,2011.0,,,,
6400,BAN,"Parveen, Seyda Shabana",WFM,WFM,,,,,,,,
6401,ESP,"Pavia Miralles, Jose Manuel",FM,,,,,,,,,
6402,GER,"Pecher, Henryk",FM,,,,,2005.0,,,,
6403,ARG,"Perez Pietronave, Carlos",FM,,,,,2008.0,,,,
6404,SRB,"Petronic, Sanja",WIM,WIM,,,,,,,,
6405,MRI,"Phillips, Roy",FM,,,2009.0,,2011.0,,,,
6406,NED,"Piket, Jeroen",GM,,,,,1985.0,,1986.0,,
6407,SRB,"Pikula, Dejan",GM,,,,,,,,,2002.0
6408,ROU,"Plass, Mariana-Camelia",WFM,WFM,,,,,,,,
6409,RUS,"Platonov, Evgeny",FM,,,,,2007.0,,,,
6410,NED,"Polak, Indra",CM,,,2019.0,,,,,,
6411,HUN,"Polgar, Susan",GM,WIM,,,,,1982.0,1984.0,,1991.0
6412,SRB,"Popovic, Dragan B",FM,,,,,,,,,
6413,RUS,"Potapov, Alexander",GM,,,,,,,1996.0,,2004.0
6414,RUS,"Prosvirnov, Sergei",IM,,,,,,,,,
6415,SRB,"Rabrenovic, Vladan",IM,,,,,,,2013.0,,
6416,USA,"Rachels, Stuart",IM,,,,,1985.0,,1989.0,,
6417,SRB,"Radovanovic, Jovica",FM,,,,,2005.0,,,,
6418,SUI,"Ramseier, Jana S.",WFM,WFM,,,,,,,,
6419,SRB,"Randjelovic, Dragana",WFM,WFM,,,,,,,,
6420,GER,"Rausch, Stephan",FM,,,,,,,,,
6421,NED,"Rebers, Eugene",FM,,,,,,,,,
6422,GER,"Reipsch, Jens",FM,,,,,2006.0,,,,
6423,GER,"Ritscher, Jan-Paul, Dr.",FM,,,,,,,,,
6424,ENG,"Rix, Steven J L",CM,,,2020.0,,,,,,
6425,ISR,"Roizen, Nadejda",WIM,WIM,,,,,1994.0,,,
6426,CHI,"Rojas Sepulveda, Eduardo",FM,,,,,1985.0,,,,
6427,ENG,"Rossiter, Philip J",FM,,,,,,,,,
6428,ESP,"Ruiz Gomez, Alejandro",FM,,,,,,,,,
6429,USA,"Sagalchik, Gennadij",GM,,,,,,,1993.0,,1994.0
6430,RUS,"Salakhova, Gulnara",WIM,WIM,,,,,1995.0,,,
6431,UAE,"Saleh, Nagueb",CM,,,2012.0,,,,,,
6432,OMA,"Salim Issa, Ali Shamas",CM,,,2016.0,,,,,,
6433,FIN,"Salimaki, Janne",FM,,,,,2010.0,,,,
6434,GER,"Salvermoser, Bernd",FM,,,,,,,,,
6435,FIN,"Sandholm, Klas",CM,,,2020.0,,,,,,
6436,GER,"Sawatzki, Frank",FM,,,,,,,,,
