game_id,game_order,event,site,date_played,round,white,black,result,white_elo,black_elo,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,date_created,file_name
dc35d464-fdcf-4769-addc-4dc2ca0e2824,33,New York State-ch 121st,New York,1999.09.04,2,"Nakamura, Hikaru","Lawson, Brian",1/2-1/2,2204,2073,draw,,draw,,0,B68,2022-07-15T18:12:54+0000,Nakamura.pgn
9441ec1a-8ac2-4a20-ba59-de4b422cf001,34,New York State-ch 121st,New York,1999.09.06,5,"Nakamura, Hikaru","Farrell, Gary",1-0,2204,,"Nakamura, Hikaru",2204,"Farrell, Gary",,0,B23,2022-07-15T18:12:54+0000,Nakamura.pgn
715531da-0605-4759-864b-1bb4f6110136,35,New York State-ch 121st,New York,1999.09.06,6,"Spraggett, Grant","Nakamura, Hikaru",1-0,2334,2204,"Spraggett, Grant",2334,"Nakamura, Hikaru",2204,130,A25,2022-07-15T18:12:54+0000,Nakamura.pgn
caaa0011-0273-40e0-8120-97563f85f3b8,36,Manhattan CC-ch,New York,1999.09.25,2,"Nakamura, Hikaru","Waxman, Marian",1-0,2204,2080,"Nakamura, Hikaru",2204,"Waxman, Marian",2080,124,C45,2022-07-15T18:12:54+0000,Nakamura.pgn
bf0ad915-7a15-4d96-abc6-c97323e0a670,37,Manhattan CC-ch,New York,1999.09.25,3,"Schneider, Dmitry","Nakamura, Hikaru",0-1,2358,2204,"Nakamura, Hikaru",2204,"Schneider, Dmitry",2358,-154,B81,2022-07-15T18:12:54+0000,Nakamura.pgn
b7044c9c-c453-4666-b429-cdb1be48b8a6,38,Manhattan CC-ch,New York,1999.09.26,5,"Privman, Boris","Nakamura, Hikaru",1/2-1/2,2192,2204,draw,,draw,,0,E60,2022-07-15T18:12:54+0000,Nakamura.pgn
e617a4ab-0874-41ba-b906-b3180dd7c0f7,39,Wch U12,Oropesa del Mar,1999.10.24,1,"Nakamura, Hikaru","Laznicka, Viktor",1-0,2204,,"Nakamura, Hikaru",2204,"Laznicka, Viktor",,0,C12,2022-07-15T18:12:54+0000,Nakamura.pgn
eb641567-1584-4a09-ab5d-3f93f23794fa,40,Wch U12,Oropesa del Mar,1999.10.25,2,"Mladenov, Plamen","Nakamura, Hikaru",0-1,,2204,"Nakamura, Hikaru",2204,"Mladenov, Plamen",,0,B53,2022-07-15T18:12:54+0000,Nakamura.pgn
63a841e6-f82d-423b-8bf1-4fd2934fff62,41,Wch U12,Oropesa del Mar,1999.10.26,3,"Nakamura, Hikaru","Tanrikulu, Secim Erhan",1-0,2204,,"Nakamura, Hikaru",2204,"Tanrikulu, Secim Erhan",,0,C54,2022-07-15T18:12:54+0000,Nakamura.pgn
ffb63fa4-9d57-442b-8933-1ff633eb78a7,42,Wch U12,Oropesa del Mar,1999.10.27,4,"Nakamura, Hikaru","Tomashevski, Evgeni",1/2-1/2,2204,2292,draw,,draw,,0,D00,2022-07-15T18:12:54+0000,Nakamura.pgn
